Set,Accesses,Hits,Misses,Evictions,WaysUsed,HitRate,EvictionRate
0,103528,97782,5746,5746,4,94.45,5.55
1,25866,24169,1697,1697,5,93.44,6.56
2,77386,69462,7924,7924,5,89.76,10.24
3,41330,39106,2224,2224,3,94.62,5.38
4,37689,35435,2254,2254,4,94.02,5.98
5,30973,29049,1924,1923,5,93.79,6.21
6,37998,35593,2405,2404,6,93.67,6.33
7,10492,9887,605,605,5,94.23,5.77
8,45789,45161,628,628,4,98.63,1.37
9,26477,25818,659,659,5,97.51,2.49
10,24241,23157,1084,1084,4,95.53,4.47
11,27086,25302,1784,1784,3,93.41,6.59
12,28940,27150,1790,1790,4,93.81,6.19
13,22203,20368,1835,1835,3,91.74,8.26
14,15873,14452,1421,1421,3,91.05,8.95
15,14051,13215,836,836,3,94.05,5.95
16,3498,3234,264,264,5,92.45,7.55
17,12217,11268,949,949,4,92.23,7.77
18,22316,21135,1181,1181,3,94.71,5.29
19,78921,69989,8932,8932,5,88.68,11.32
20,125674,116880,8794,8794,5,93.00,7.00
21,133652,124901,8751,8751,4,93.45,6.55
22,166924,158585,8339,8339,3,95.00,5.00
23,151263,143583,7680,7680,4,94.92,5.08
24,179900,166093,13807,13807,6,92.33,7.67
25,139831,126027,13804,13804,5,90.13,9.87
26,234340,219758,14582,14582,6,93.78,6.22
27,222610,208166,14444,14444,5,93.51,6.49
28,316810,295716,21094,21094,5,93.34,6.66
29,394362,373225,21137,21137,5,94.64,5.36
30,142542,134954,7588,7588,4,94.68,5.32
31,96294,82746,13548,13548,5,85.93,14.07
32,122069,115164,6905,6905,4,94.34,5.66
33,79321,72407,6914,6914,4,91.28,8.72
34,65263,58379,6884,6884,4,89.45,10.55
35,14325,12255,2070,2070,3,85.55,14.45
36,6268,4745,1523,1523,3,75.70,24.30
37,3672,3581,91,91,4,97.52,2.48
38,2942,2866,76,76,5,97.42,2.58
39,6054,5774,280,280,5,95.37,4.63
40,5263,4986,277,277,6,94.74,5.26
41,36017,33343,2674,2674,6,92.58,7.42
42,45631,42972,2659,2659,6,94.17,5.83
43,64695,61224,3471,3471,5,94.63,5.37
44,68911,65229,3682,3682,3,94.66,5.34
45,79917,75567,4350,4350,4,94.56,5.44
46,82000,75379,6621,6621,5,91.93,8.07
47,45381,43700,1681,1681,5,96.30,3.70
48,2122237,2119963,2274,2274,6,99.89,0.11
49,1731968,1730093,1875,1875,5,99.89,0.11
50,98001,93628,4373,4373,5,95.54,4.46
51,35465,31094,4371,4371,5,87.68,12.32
52,29807,27446,2361,2361,4,92.08,7.92
53,16943,15895,1048,1048,3,93.81,6.19
54,19531,17599,1932,1932,4,90.11,9.89
55,19706,17729,1977,1977,4,89.97,10.03
56,18286,16392,1894,1894,4,89.64,10.36
57,13013,12303,710,710,5,94.54,5.46
58,26784,24846,1938,1938,4,92.76,7.24
59,9736,8594,1142,1142,4,88.27,11.73
60,12302,10295,2007,2007,4,83.69,16.31
61,11025,9669,1356,1356,5,87.70,12.30
62,18372,16991,1381,1381,5,92.48,7.52
63,13253,11775,1478,1478,5,88.85,11.15
64,8333,7903,430,430,3,94.84,5.16
65,5085,4717,368,368,3,92.76,7.24
66,4035,3598,437,437,4,89.17,10.83
67,5427,5150,277,277,2,94.90,5.10
68,48795,45991,2804,2804,3,94.25,5.75
69,51654,48613,3041,3041,3,94.11,5.89
70,68442,65172,3270,3270,4,95.22,4.78
71,45461,42407,3054,3054,3,93.28,6.72
72,23114,19843,3271,3271,4,85.85,14.15
73,18132,15162,2970,2970,3,83.62,16.38
74,39506,36583,2923,2923,4,92.60,7.40
75,93333,82427,10906,10906,4,88.31,11.69
76,196124,187297,8827,8827,5,95.50,4.50
77,63243,54396,8847,8847,4,86.01,13.99
78,163848,154524,9324,9324,4,94.31,5.69
79,21012,17694,3318,3318,3,84.21,15.79
80,26171,23198,2973,2973,4,88.64,11.36
81,43777,40493,3284,3284,4,92.50,7.50
82,47117,43868,3249,3249,4,93.10,6.90
83,59823,56668,3155,3155,3,94.73,5.27
84,118430,109825,8605,8605,5,92.73,7.27
85,260127,252015,8112,8112,3,96.88,3.12
86,234977,226474,8503,8503,3,96.38,3.62
87,144260,143528,732,732,2,99.49,0.51
88,13543,11770,1773,1773,3,86.91,13.09
89,35221,30963,4258,4258,3,87.91,12.09
90,33730,33115,615,615,4,98.18,1.82
91,195571,187343,8228,8228,4,95.79,4.21
92,89393,83850,5543,5543,6,93.80,6.20
93,126575,118836,7739,7739,4,93.89,6.11
94,58271,54644,3627,3627,4,93.78,6.22
95,61486,58002,3484,3484,4,94.33,5.67
96,41083,37881,3202,3202,3,92.21,7.79
97,234534,228795,5739,5739,4,97.55,2.45
98,93070,87616,5454,5454,5,94.14,5.86
99,46706,43453,3253,3253,6,93.04,6.96
100,49961,47147,2814,2814,6,94.37,5.63
101,90321,82785,7536,7536,5,91.66,8.34
102,123526,113285,10241,10241,5,91.71,8.29
103,123749,113961,9788,9788,6,92.09,7.91
104,74739,63847,10892,10892,5,85.43,14.57
105,30820,29131,1689,1689,3,94.52,5.48
106,35993,31632,4361,4361,4,87.88,12.12
107,6060,3224,2836,2836,3,53.20,46.80
108,7868,5134,2734,2734,3,65.25,34.75
109,3576,3297,279,279,4,92.20,7.80
110,4170,3183,987,987,4,76.33,23.67
111,19317,18337,980,980,4,94.93,5.07
112,7935,6986,949,949,5,88.04,11.96
113,8109,5366,2743,2743,5,66.17,33.83
114,2735,2593,142,142,6,94.81,5.19
115,162065,152616,9449,9449,6,94.17,5.83
116,112955,106111,6844,6844,5,93.94,6.06
117,80835,73353,7482,7482,6,90.74,9.26
118,17099,15640,1459,1459,6,91.47,8.53
