Set,Accesses,Hits,Misses,Evictions,WaysUsed,HitRate,EvictionRate
0,1109185,1029725,79460,79460,8,92.84,7.16
1,1093386,1014386,79000,79000,8,92.77,7.23
2,1088966,1009595,79371,79371,8,92.71,7.29
3,1086814,1007627,79187,79187,8,92.71,7.29
4,1091641,1012100,79541,79541,8,92.71,7.29
5,1090752,1011361,79391,79391,8,92.72,7.28
6,1086289,1007019,79270,79270,8,92.70,7.30
7,1094929,1015402,79527,79527,8,92.74,7.26
8,1100357,1020826,79531,79531,8,92.77,7.23
9,1100470,1020678,79792,79792,8,92.75,7.25
10,1090911,1011219,79692,79692,8,92.69,7.31
11,1094547,1014374,80173,80173,8,92.68,7.32
12,1088218,1009317,78901,78901,8,92.75,7.25
13,1088465,1009550,78915,78915,8,92.75,7.25
14,1087844,1008220,79624,79624,8,92.68,7.32
15,1086476,1007204,79272,79272,8,92.70,7.30
16,1089439,1010155,79284,79284,8,92.72,7.28
17,1087442,1008170,79272,79272,8,92.71,7.29
18,1099978,1020351,79627,79627,8,92.76,7.24
19,1089885,1010558,79327,79327,8,92.72,7.28
20,1089010,1009446,79564,79564,8,92.69,7.31
21,1091431,1011863,79568,79568,8,92.71,7.29
22,1089135,1009570,79565,79565,8,92.69,7.31
23,1104455,1024886,79569,79569,8,92.80,7.20
24,1086604,1007304,79300,79300,8,92.70,7.30
25,1091833,1012287,79546,79546,8,92.71,7.29
26,1087298,1007744,79554,79554,8,92.68,7.32
27,1087790,1008365,79425,79425,8,92.70,7.30
28,1087723,1008449,79274,79274,8,92.71,7.29
29,1087969,1008928,79041,79041,8,92.73,7.27
30,1092257,1012696,79561,79561,8,92.72,7.28
31,1097968,1018179,79789,79789,8,92.73,7.27
32,1093295,1013754,79541,79541,8,92.72,7.28
33,1091122,1011840,79282,79282,8,92.73,7.27
34,1090508,1011184,79324,79324,8,92.73,7.27
35,1091171,1011850,79321,79321,8,92.73,7.27
36,1096782,1017485,79297,79297,8,92.77,7.23
37,1104135,1024600,79535,79535,8,92.80,7.20
38,1103672,1024396,79276,79276,8,92.82,7.18
39,1106349,1026790,79559,79559,8,92.81,7.19
40,1111179,1031560,79619,79619,8,92.83,7.17
41,1161493,1082004,79489,79489,8,93.16,6.84
42,1262865,1183411,79454,79454,8,93.71,6.29
43,1242904,1163390,79514,79514,8,93.60,6.40
44,1233289,1154070,79219,79219,8,93.58,6.42
45,1210380,1130942,79438,79438,8,93.44,6.56
46,1224973,1145281,79692,79692,8,93.49,6.51
47,1169538,1089850,79688,79688,8,93.19,6.81
48,1162404,1082970,79434,79434,8,93.17,6.83
49,1336085,1256543,79542,79542,8,94.05,5.95
50,1341628,1262025,79603,79603,8,94.07,5.93
51,1220400,1140817,79583,79583,8,93.48,6.52
52,1189379,1109296,80083,80083,8,93.27,6.73
53,1314108,1234309,79799,79799,8,93.93,6.07
54,1294745,1215060,79685,79685,8,93.85,6.15
55,1450389,1370609,79780,79780,8,94.50,5.50
56,1349978,1270271,79707,79707,8,94.10,5.90
57,1192514,1112846,79668,79668,8,93.32,6.68
58,1253467,1173735,79732,79732,8,93.64,6.36
59,1192302,1112741,79561,79561,8,93.33,6.67
60,1206984,1127548,79436,79436,8,93.42,6.58
61,1207147,1127577,79570,79570,8,93.41,6.59
62,1206306,1126597,79709,79709,8,93.39,6.61
63,1230219,1150460,79759,79759,8,93.52,6.48
64,1307168,1226763,80405,80405,8,93.85,6.15
65,1112825,1033454,79371,79371,8,92.87,7.13
66,1231965,1151178,80787,80787,8,93.44,6.56
67,1173224,1092725,80499,80499,8,93.14,6.86
68,1117728,1038043,79685,79685,8,92.87,7.13
69,1099635,1020088,79547,79547,8,92.77,7.23
70,1109557,1030343,79214,79214,8,92.86,7.14
71,1088580,1009730,78850,78850,8,92.76,7.24
72,1094602,1015234,79368,79368,8,92.75,7.25
73,1096817,1017268,79549,79549,8,92.75,7.25
74,1088322,1009417,78905,78905,8,92.75,7.25
75,1088439,1009670,78769,78769,8,92.76,7.24
76,1104878,1026088,78790,78790,8,92.87,7.13
77,1123529,1044132,79397,79397,8,92.93,7.07
78,1130356,1051011,79345,79345,8,92.98,7.02
79,1113614,1034385,79229,79229,8,92.89,7.11
80,1118470,1039198,79272,79272,8,92.91,7.09
81,1096679,1017651,79028,79028,8,92.79,7.21
82,1092903,1013661,79242,79242,8,92.75,7.25
83,1756442,1666266,90176,90176,8,94.87,5.13
84,2080706,1990727,89979,89979,8,95.68,4.32
85,1623177,1533320,89857,89857,8,94.46,5.54
86,1300738,1210829,89909,89909,8,93.09,6.91
87,1160955,1080921,80034,80034,8,93.11,6.89
88,1440064,1359971,80093,80093,8,94.44,5.56
89,1313198,1222753,90445,90445,8,93.11,6.89
90,1163464,1072932,90532,90532,8,92.22,7.78
91,1099351,1020016,79335,79335,8,92.78,7.22
92,1095115,1016138,78977,78977,8,92.79,7.21
93,1097082,1017686,79396,79396,8,92.76,7.24
94,1101723,1022361,79362,79362,8,92.80,7.20
95,1090150,1011179,78971,78971,8,92.76,7.24
96,1095942,1016701,79241,79241,8,92.77,7.23
97,1097656,1018508,79148,79148,8,92.79,7.21
98,1094208,1015071,79137,79137,8,92.77,7.23
99,1096471,1016569,79902,79902,8,92.71,7.29
100,1205157,1125952,79205,79205,8,93.43,6.57
101,1092689,1013677,79012,79012,8,92.77,7.23
102,1108308,1028836,79472,79472,8,92.83,7.17
103,1100638,1021206,79432,79432,8,92.78,7.22
104,1167638,1087919,79719,79719,8,93.17,6.83
105,1109238,1030161,79077,79077,8,92.87,7.13
106,1105029,1025987,79042,79042,8,92.85,7.15
107,1100420,1021214,79206,79206,8,92.80,7.20
108,1111682,1032427,79255,79255,8,92.87,7.13
109,1248181,1168618,79563,79563,8,93.63,6.37
110,1132017,1052506,79511,79511,8,92.98,7.02
111,1140186,1061000,79186,79186,8,93.05,6.95
112,1099706,1020478,79228,79228,8,92.80,7.20
113,1100138,1020660,79478,79478,8,92.78,7.22
114,1102729,1023754,78975,78975,8,92.84,7.16
115,1107225,1028253,78972,78972,8,92.87,7.13
116,1110857,1031746,79111,79111,8,92.88,7.12
117,1103090,1023626,79464,79464,8,92.80,7.20
118,1095717,1016721,78996,78996,8,92.79,7.21
119,1097536,1018557,78979,78979,8,92.80,7.20
120,1096542,1017525,79017,79017,8,92.79,7.21
121,1093283,1014229,79054,79054,8,92.77,7.23
122,1111653,1032257,79396,79396,8,92.86,7.14
123,1116191,1037081,79110,79110,8,92.91,7.09
124,1124782,1045761,79021,79021,8,92.97,7.03
125,1120474,1041388,79086,79086,8,92.94,7.06
126,1117540,1038318,79222,79222,8,92.91,7.09
127,1145669,1066390,79279,79279,8,93.08,6.92
128,2098504,2006379,92125,92125,8,95.61,4.39
129,1127172,1048121,79051,79051,8,92.99,7.01
130,1125223,1046120,79103,79103,8,92.97,7.03
131,1125452,1046377,79075,79075,8,92.97,7.03
132,1126751,1047693,79058,79058,8,92.98,7.02
