Set,Accesses,Hits,Misses,Evictions,WaysUsed,HitRate,EvictionRate
0,3236854,3220048,16806,16798,8,99.48,0.52
1,594577,578442,16135,16127,8,97.29,2.71
2,488645,472281,16364,16356,8,96.65,3.35
3,366455,349998,16457,16449,8,95.51,4.49
4,397844,381810,16034,16026,8,95.97,4.03
5,348797,332775,16022,16014,8,95.41,4.59
6,323269,307312,15957,15949,8,95.06,4.93
7,505421,489526,15895,15887,8,96.86,3.14
8,729218,713537,15681,15673,8,97.85,2.15
9,784028,767982,16046,16038,8,97.95,2.05
10,523215,507338,15877,15869,8,96.97,3.03
11,574442,558365,16077,16069,8,97.20,2.80
12,400695,384851,15844,15836,8,96.05,3.95
13,334403,318638,15765,15757,8,95.29,4.71
14,390204,374102,16102,16094,8,95.87,4.12
15,322896,307077,15819,15811,8,95.10,4.90
16,733176,716998,16178,16170,8,97.79,2.21
17,352321,336359,15962,15954,8,95.47,4.53
18,511679,495714,15965,15957,8,96.88,3.12
19,341062,325063,15999,15991,8,95.31,4.69
20,404521,388578,15943,15935,8,96.06,3.94
21,445380,429416,15964,15956,8,96.42,3.58
22,442665,426425,16240,16232,8,96.33,3.67
23,794776,778486,16290,16282,8,97.95,2.05
24,381770,365545,16225,16217,8,95.75,4.25
25,397086,380952,16134,16126,8,95.94,4.06
26,384168,368402,15766,15758,8,95.90,4.10
27,368503,352528,15975,15967,8,95.66,4.33
28,360375,344554,15821,15813,8,95.61,4.39
29,478546,462787,15759,15751,8,96.71,3.29
30,513013,497128,15885,15877,8,96.90,3.09
31,566343,550649,15694,15686,8,97.23,2.77
32,520366,504093,16273,16265,8,96.87,3.13
33,548636,532610,16026,16018,8,97.08,2.92
34,470366,454641,15725,15717,8,96.66,3.34
35,422555,406587,15968,15960,8,96.22,3.78
36,414216,398306,15910,15902,8,96.16,3.84
37,5042420,5026696,15724,15716,8,99.69,0.31
38,471247,455403,15844,15836,8,96.64,3.36
39,870672,854911,15761,15753,8,98.19,1.81
40,971965,956099,15866,15858,8,98.37,1.63
41,674302,658433,15869,15861,8,97.65,2.35
42,787229,771322,15907,15899,8,97.98,2.02
43,770146,753629,16517,16509,8,97.86,2.14
44,920734,904674,16060,16052,8,98.26,1.74
45,952852,936779,16073,16065,8,98.31,1.69
46,1134127,1118010,16117,16109,8,98.58,1.42
47,575975,559954,16021,16013,8,97.22,2.78
48,799443,783184,16259,16251,8,97.97,2.03
49,567448,551434,16014,16006,8,97.18,2.82
50,542077,525896,16181,16173,8,97.01,2.98
51,531552,515209,16343,16335,8,96.93,3.07
52,1053552,1037257,16295,16287,8,98.45,1.55
53,1018558,1002036,16522,16514,8,98.38,1.62
54,518528,502389,16139,16131,8,96.89,3.11
55,583267,567006,16261,16253,8,97.21,2.79
56,463162,446961,16201,16193,8,96.50,3.50
57,406237,390033,16204,16196,8,96.01,3.99
58,370108,354359,15749,15741,8,95.74,4.25
59,332157,316473,15684,15676,8,95.28,4.72
60,397133,381381,15752,15744,8,96.03,3.96
61,385775,369864,15911,15903,8,95.88,4.12
62,365686,349482,16204,16196,8,95.57,4.43
63,485670,469744,15926,15918,8,96.72,3.28
64,2701996,2684881,17115,17107,8,99.37,0.63
65,610888,594280,16608,16600,8,97.28,2.72
66,1751283,1734409,16874,16866,8,99.04,0.96
67,1014078,997347,16731,16723,8,98.35,1.65
68,374364,357875,16489,16481,8,95.60,4.40
69,430827,414291,16536,16528,8,96.16,3.84
70,468436,451755,16681,16673,8,96.44,3.56
71,319517,302986,16531,16523,8,94.83,5.17
72,392445,376076,16369,16361,8,95.83,4.17
73,474663,458040,16623,16615,8,96.50,3.50
74,356574,339637,16937,16929,8,95.25,4.75
75,357208,340545,16663,16655,8,95.34,4.66
76,461195,444164,17031,17023,8,96.31,3.69
77,581486,565231,16255,16247,8,97.20,2.79
78,575825,559366,16459,16451,8,97.14,2.86
79,506102,489318,16784,16776,8,96.68,3.31
80,462796,446272,16524,16516,8,96.43,3.57
81,386053,369503,16550,16542,8,95.71,4.28
82,382755,365664,17091,17083,8,95.53,4.46
83,405318,388471,16847,16839,8,95.84,4.15
84,322835,306491,16344,16336,8,94.94,5.06
85,395405,378815,16590,16582,8,95.80,4.19
86,357754,341557,16197,16189,8,95.47,4.53
87,1220801,1204316,16485,16477,8,98.65,1.35
88,711388,694991,16397,16389,8,97.70,2.30
89,624519,608144,16375,16367,8,97.38,2.62
90,445083,428431,16652,16644,8,96.26,3.74
91,427532,410946,16586,16578,8,96.12,3.88
92,541228,525173,16055,16047,8,97.03,2.96
93,621359,605065,16294,16286,8,97.38,2.62
94,641579,625079,16500,16492,8,97.43,2.57
95,623729,607414,16315,16307,8,97.38,2.61
96,1065322,1048395,16927,16919,8,98.41,1.59
97,770403,754326,16077,16069,8,97.91,2.09
98,1672569,1656330,16239,16231,8,99.03,0.97
99,1554809,1538347,16462,16454,8,98.94,1.06
100,2529248,2512826,16422,16414,8,99.35,0.65
101,1131480,1115224,16256,16248,8,98.56,1.44
102,776539,760164,16375,16367,8,97.89,2.11
103,905200,888689,16511,16503,8,98.18,1.82
104,1022801,1006336,16465,16457,8,98.39,1.61
105,1202424,1186153,16271,16263,8,98.65,1.35
106,672196,655922,16274,16266,8,97.58,2.42
107,568926,552165,16761,16753,8,97.05,2.94
108,1372933,1356246,16687,16679,8,98.78,1.21
109,769098,752436,16662,16654,8,97.83,2.17
110,1007222,991111,16111,16103,8,98.40,1.60
111,753740,737427,16313,16305,8,97.84,2.16
112,991648,974919,16729,16721,8,98.31,1.69
113,753704,737209,16495,16487,8,97.81,2.19
114,731372,714643,16729,16721,8,97.71,2.29
115,692780,676600,16180,16172,8,97.66,2.33
116,619149,602647,16502,16494,8,97.33,2.66
117,449299,433027,16272,16264,8,96.38,3.62
118,523370,506453,16917,16909,8,96.77,3.23
119,525389,509014,16375,16367,8,96.88,3.12
120,413118,396820,16298,16290,8,96.05,3.94
121,371436,354875,16561,16553,8,95.54,4.46
122,664081,647533,16548,16540,8,97.51,2.49
123,1282625,1266097,16528,16520,8,98.71,1.29
124,1562918,1546497,16421,16413,8,98.95,1.05
125,1394326,1378105,16221,16213,8,98.84,1.16
126,1261525,1245122,16403,16395,8,98.70,1.30
127,2563142,2546877,16265,16257,8,99.37,0.63
128,1440373,1423349,17024,17016,8,98.82,1.18
129,337615,321326,16289,16281,8,95.18,4.82
130,303033,286928,16105,16097,8,94.69,5.31
131,320419,304339,16080,16072,8,94.98,5.02
132,387262,371296,15966,15958,8,95.88,4.12
133,447232,431028,16204,16196,8,96.38,3.62
134,323358,307411,15947,15939,8,95.07,4.93
135,312338,296414,15924,15916,8,94.90,5.10
136,575552,558944,16608,16600,8,97.11,2.88
137,437342,420666,16676,16668,8,96.19,3.81
138,344183,328229,15954,15946,8,95.36,4.63
139,471005,454870,16135,16127,8,96.57,3.42
140,450176,433822,16354,16346,8,96.37,3.63
141,819625,803035,16590,16582,8,97.98,2.02
142,564869,548855,16014,16006,8,97.17,2.83
143,834658,818242,16416,16408,8,98.03,1.97
144,541780,525689,16091,16083,8,97.03,2.97
145,954030,937716,16314,16306,8,98.29,1.71
146,340246,324146,16100,16092,8,95.27,4.73
147,411556,395360,16196,16188,8,96.06,3.93
148,342710,326670,16040,16032,8,95.32,4.68
149,348488,332440,16048,16040,8,95.39,4.60
150,324086,308183,15903,15895,8,95.09,4.90
151,368230,352092,16138,16130,8,95.62,4.38
152,321621,305746,15875,15867,8,95.06,4.93
153,314034,298138,15896,15888,8,94.94,5.06
154,311040,295141,15899,15891,8,94.89,5.11
155,346984,330693,16291,16283,8,95.30,4.69
156,588815,572951,15864,15856,8,97.31,2.69
157,306810,291024,15786,15778,8,94.85,5.14
158,368741,352684,16057,16049,8,95.65,4.35
159,342687,326906,15781,15773,8,95.39,4.60
160,361195,345144,16051,16043,8,95.56,4.44
161,381463,365419,16044,16036,8,95.79,4.20
162,352888,337180,15708,15700,8,95.55,4.45
163,303858,288158,15700,15692,8,94.83,5.16
164,330191,314076,16115,16107,8,95.12,4.88
165,295759,279949,15810,15802,8,94.65,5.34
166,295063,279279,15784,15776,8,94.65,5.35
167,310127,294422,15705,15697,8,94.94,5.06
168,1052474,1036685,15789,15781,8,98.50,1.50
169,496327,480789,15538,15530,8,96.87,3.13
170,499880,484302,15578,15570,8,96.88,3.11
171,548146,532396,15750,15742,8,97.13,2.87
172,1231854,1216281,15573,15565,8,98.74,1.26
173,1170033,1153975,16058,16050,8,98.63,1.37
174,1004382,988638,15744,15736,8,98.43,1.57
175,779462,763574,15888,15880,8,97.96,2.04
176,973731,957663,16068,16060,8,98.35,1.65
177,543488,527448,16040,16032,8,97.05,2.95
178,332330,316377,15953,15945,8,95.20,4.80
179,366498,350577,15921,15913,8,95.66,4.34
180,329013,313271,15742,15734,8,95.22,4.78
181,319159,303102,16057,16049,8,94.97,5.03
182,387876,371823,16053,16045,8,95.86,4.14
183,316369,300561,15808,15800,8,95.00,4.99
184,380917,365061,15856,15848,8,95.84,4.16
185,335316,319359,15957,15949,8,95.24,4.76
186,308697,292789,15908,15900,8,94.85,5.15
187,317359,301066,16293,16285,8,94.87,5.13
188,576886,560604,16282,16274,8,97.18,2.82
189,435303,419511,15792,15784,8,96.37,3.63
190,302693,286661,16032,16024,8,94.70,5.29
191,3174938,3158909,16029,16021,8,99.50,0.50
192,1373571,1356980,16591,16583,8,98.79,1.21
193,371167,354983,16184,16176,8,95.64,4.36
194,299472,283193,16279,16271,8,94.56,5.43
195,357567,341417,16150,16142,8,95.48,4.51
196,337927,321333,16594,16586,8,95.09,4.91
197,356607,339828,16779,16771,8,95.29,4.70
198,331989,315333,16656,16648,8,94.98,5.01
199,331239,315372,15867,15859,8,95.21,4.79
200,430300,414206,16094,16086,8,96.26,3.74
201,468910,452329,16581,16573,8,96.46,3.53
202,334767,318488,16279,16271,8,95.14,4.86
203,347912,331867,16045,16037,8,95.39,4.61
204,1593212,1576706,16506,16498,8,98.96,1.04
205,319213,303111,16102,16094,8,94.96,5.04
206,331243,315096,16147,16139,8,95.13,4.87
207,428275,412302,15973,15965,8,96.27,3.73
208,461469,444935,16534,16526,8,96.42,3.58
209,356449,340201,16248,16240,8,95.44,4.56
210,330611,314756,15855,15847,8,95.20,4.79
211,327291,311256,16035,16027,8,95.10,4.90
