Set,Accesses,Hits,Misses,Evictions,WaysUsed,HitRate,EvictionRate
0,2016692,1913377,103315,103315,8,94.88,5.12
1,515874,464834,51040,51040,8,90.11,9.89
2,2394449,2207678,186771,186769,8,92.20,7.80
3,1544576,1465996,78580,78580,8,94.91,5.09
4,1796432,1708843,87589,87589,8,95.12,4.88
5,1520998,1447439,73559,73559,8,95.16,4.84
6,1956835,1859863,96972,96972,8,95.04,4.96
7,855160,774126,81034,81034,8,90.52,9.48
8,764846,734435,30411,30411,8,96.02,3.98
9,486151,453613,32538,32538,8,93.31,6.69
10,672026,641304,30722,30722,8,95.43,4.57
11,943837,891626,52211,52211,8,94.47,5.53
12,828304,776289,52015,52015,8,93.72,6.28
13,860647,805917,54730,54730,8,93.64,6.36
14,605082,552738,52344,52344,8,91.35,8.65
15,557107,529220,27887,27887,8,94.99,5.01
16,380612,373125,7487,7487,8,98.03,1.97
17,543203,515211,27992,27992,8,94.85,5.15
18,749914,718972,30942,30942,8,95.87,4.13
19,1093169,1033803,59366,59366,8,94.57,5.43
20,670391,614416,55975,55975,8,91.65,8.35
21,733299,676888,56411,56411,8,92.31,7.69
22,829436,773432,56004,56004,8,93.25,6.75
23,341917,307413,34504,34504,8,89.91,10.09
24,431389,414406,16983,16983,8,96.06,3.94
25,444914,431775,13139,13139,8,97.05,2.95
26,872380,831895,40485,40485,8,95.36,4.64
27,1210204,1166682,43522,43522,8,96.40,3.60
28,1408862,1366014,42848,42848,8,96.96,3.04
29,1077850,1037009,40841,40841,8,96.21,3.79
30,466911,434626,32285,32285,8,93.09,6.91
31,261190,248191,12999,12999,8,95.02,4.98
32,423287,415290,7997,7997,8,98.11,1.89
33,315502,306498,9004,9004,8,97.15,2.85
34,270532,261964,8568,8568,8,96.83,3.17
35,526882,454320,72562,72561,8,86.23,13.77
36,274547,226185,48362,48361,8,82.38,17.61
37,729065,723828,5237,5237,8,99.28,0.72
38,630655,625565,5090,5090,8,99.19,0.81
39,562908,554034,8874,8874,8,98.42,1.58
40,797437,788007,9430,9430,8,98.82,1.18
41,552649,545395,7254,7254,8,98.69,1.31
42,377170,373270,3900,3900,8,98.97,1.03
43,773935,746607,27328,27328,8,96.47,3.53
44,665682,635234,30448,30448,8,95.43,4.57
45,869779,814696,55083,55082,8,93.67,6.33
46,1393772,1279818,113954,113953,8,91.82,8.18
47,784980,751634,33346,33346,8,95.75,4.25
48,815508,778072,37436,37436,8,95.41,4.59
49,862049,829173,32876,32876,8,96.19,3.81
50,1009911,976353,33558,33558,8,96.68,3.32
51,719996,686617,33379,33379,8,95.36,4.64
52,709988,656257,53731,53731,8,92.43,7.57
53,1125670,1095792,29878,29878,8,97.35,2.65
54,652451,591236,61215,61215,8,90.62,9.38
55,672001,617277,54724,54724,8,91.86,8.14
56,492230,435864,56366,56366,8,88.55,11.45
57,314787,305519,9268,9268,8,97.06,2.94
58,977312,918165,59147,59147,8,93.95,6.05
59,497742,466840,30902,30902,8,93.79,6.21
60,377048,322435,54613,54612,8,85.52,14.48
61,333908,302002,31906,31905,8,90.44,9.56
62,1502702,1470845,31857,31857,8,97.88,2.12
63,841720,809757,31963,31962,8,96.20,3.80
64,197400,190132,7268,7268,8,96.32,3.68
65,280621,273389,7232,7232,8,97.42,2.58
66,325482,317650,7832,7832,8,97.59,2.41
67,274520,267946,6574,6574,8,97.61,2.39
68,512940,505470,7470,7470,8,98.54,1.46
69,201139,192315,8824,8824,8,95.61,4.39
70,661763,649537,12226,12226,8,98.15,1.85
71,600240,589487,10753,10753,8,98.21,1.79
72,874945,857462,17483,17483,8,98.00,2.00
73,493749,485371,8378,8378,8,98.30,1.70
74,882386,874815,7571,7571,8,99.14,0.86
75,2913587,2872683,40904,40904,8,98.60,1.40
76,3701748,3636647,65101,65101,8,98.24,1.76
77,1759428,1694333,65095,65095,8,96.30,3.70
78,1658369,1593696,64673,64673,8,96.10,3.90
79,459970,452092,7878,7878,8,98.29,1.71
80,868937,858799,10138,10138,8,98.83,1.17
81,759027,749954,9073,9073,8,98.80,1.20
82,1397596,1389491,8105,8105,8,99.42,0.58
83,572472,566589,5883,5883,8,98.97,1.03
84,1217851,1178276,39575,39575,8,96.75,3.25
85,2271495,2233520,37975,37975,8,98.33,1.67
86,2551173,2513645,37528,37528,8,98.53,1.47
87,380705,377760,2945,2945,8,99.23,0.77
88,273932,270029,3903,3903,8,98.58,1.42
89,293676,287289,6387,6387,8,97.83,2.17
90,253643,248636,5007,5007,8,98.03,1.97
91,899484,867874,31610,31610,8,96.49,3.51
92,900158,869682,30476,30476,8,96.61,3.39
93,517263,484719,32544,32544,8,93.71,6.29
94,566067,535481,30586,30586,8,94.60,5.40
95,562298,529610,32688,32687,8,94.19,5.81
96,322217,311237,10980,10980,8,96.59,3.41
97,490436,477051,13385,13385,8,97.27,2.73
98,603096,589587,13509,13509,8,97.76,2.24
99,521251,509478,11773,11773,8,97.74,2.26
100,186118,179881,6237,6237,8,96.65,3.35
101,834987,820464,14523,14523,8,98.26,1.74
102,813358,797811,15547,15547,8,98.09,1.91
103,667514,654656,12858,12858,8,98.07,1.93
104,974286,911569,62717,62717,8,93.56,6.44
105,1229992,1170792,59200,59200,8,95.19,4.81
106,753516,697182,56334,56334,8,92.52,7.48
107,412002,405857,6145,6145,8,98.51,1.49
108,585815,573605,12210,12210,8,97.92,2.08
109,380025,372928,7097,7097,8,98.13,1.87
110,333106,303883,29223,29223,8,91.23,8.77
111,973289,944551,28738,28738,8,97.05,2.95
112,464943,435037,29906,29906,8,93.57,6.43
113,395590,389041,6549,6549,8,98.34,1.66
114,2591739,2585720,6019,6019,8,99.77,0.23
115,608377,599773,8604,8604,8,98.59,1.41
116,3068759,3061140,7619,7619,8,99.75,0.25
117,648504,636451,12053,12053,8,98.14,1.86
118,758997,727165,31832,31832,8,95.81,4.19
119,954992,919813,35179,35179,8,96.32,3.68
120,1046708,993169,53539,53539,8,94.89,5.11
121,1212667,1177139,35528,35528,8,97.07,2.93
122,1116244,1082723,33521,33521,8,97.00,3.00
123,1140410,1084019,56391,56391,8,95.06,4.94
124,2413517,2276246,137271,137270,8,94.31,5.69
125,1821719,1707629,114090,114089,8,93.74,6.26
126,696297,608083,88214,88214,8,87.33,12.67
127,826850,803722,23128,23128,8,97.20,2.80
128,1203480,1162149,41331,41331,8,96.57,3.43
129,688826,680998,7828,7828,8,98.86,1.14
130,825493,812215,13278,13278,8,98.39,1.61
131,529725,520443,9282,9282,8,98.25,1.75
132,478810,470688,8122,8122,8,98.30,1.70
133,7397421,7386688,10733,10733,8,99.85,0.15
134,584718,575585,9133,9133,8,98.44,1.56
135,762166,755637,6529,6529,8,99.14,0.86
136,610793,605021,5772,5772,8,99.05,0.95
137,348867,341465,7402,7402,8,97.88,2.12
138,1201132,1170310,30822,30822,8,97.43,2.57
139,574654,544097,30557,30557,8,94.68,5.32
140,950028,913415,36613,36612,8,96.15,3.85
141,1180990,1143327,37663,37663,8,96.81,3.19
142,1210702,1176682,34020,34020,8,97.19,2.81
143,1318584,1274492,44092,44092,8,96.66,3.34
144,2000463,1951875,48588,48588,8,97.57,2.43
145,716105,673984,42121,42121,8,94.12,5.88
146,1032776,950514,82262,82261,8,92.03,7.97
147,759614,702701,56913,56913,8,92.51,7.49
148,637708,580762,56946,56945,8,91.07,8.93
149,630343,596612,33731,33730,8,94.65,5.35
150,1056009,1045085,10924,10924,8,98.97,1.03
151,855491,840636,14855,14855,8,98.26,1.74
152,633656,617663,15993,15993,8,97.48,2.52
153,577008,567935,9073,9073,8,98.43,1.57
154,987762,953811,33951,33951,8,96.56,3.44
155,843010,812470,30540,30540,8,96.38,3.62
156,635390,585373,50017,50017,8,92.13,7.87
157,1043738,1007976,35762,35762,8,96.57,3.43
158,804921,751755,53166,53166,8,93.39,6.61
159,968464,939519,28945,28945,8,97.01,2.99
160,874204,841769,32435,32435,8,96.29,3.71
161,888942,856300,32642,32642,8,96.33,3.67
162,802740,771154,31586,31586,8,96.07,3.93
163,616043,585167,30876,30876,8,94.99,5.01
164,763793,733567,30226,30226,8,96.04,3.96
165,1191950,1135204,56746,56746,8,95.24,4.76
166,538944,510345,28599,28599,8,94.69,5.31
167,1338415,1252383,86032,86030,8,93.57,6.43
168,993787,918697,75090,75088,8,92.44,7.56
169,624868,574154,50714,50713,8,91.88,8.12
170,675663,649680,25983,25983,8,96.15,3.85
171,553530,527752,25778,25778,8,95.34,4.66
172,695208,669138,26070,26070,8,96.25,3.75
173,688210,681152,7058,7058,8,98.97,1.03
174,988147,979884,8263,8263,8,99.16,0.84
175,1051383,1043666,7717,7717,8,99.27,0.73
176,741361,731140,10221,10221,8,98.62,1.38
177,401031,391679,9352,9352,8,97.67,2.33
178,306225,295825,10400,10400,8,96.60,3.40
179,238734,231161,7573,7573,8,96.83,3.17
180,411372,402857,8515,8515,8,97.93,2.07
181,403080,392862,10218,10218,8,97.47,2.53
182,1328139,1268492,59647,59647,8,95.51,4.49
183,911762,852477,59285,59285,8,93.50,6.50
184,651778,612210,39568,39568,8,93.93,6.07
185,366977,362154,4823,4823,8,98.69,1.31
186,1351028,1334955,16073,16073,8,98.81,1.19
187,498390,490161,8229,8229,8,98.35,1.65
188,1144595,1122664,21931,21931,8,98.08,1.92
189,970788,954525,16263,16263,8,98.32,1.68
190,780458,748769,31689,31689,8,95.94,4.06
191,753703,720830,32873,32873,8,95.64,4.36
192,679476,672554,6922,6922,8,98.98,1.02
193,376865,370617,6248,6248,8,98.34,1.66
194,277604,272818,4786,4786,8,98.28,1.72
195,618718,589716,29002,29002,8,95.31,4.69
196,1709422,1624099,85323,85323,8,95.01,4.99
197,1286710,1203749,82961,82961,8,93.55,6.45
198,992865,934280,58585,58585,8,94.10,5.90
199,1551452,1489706,61746,61746,8,96.02,3.98
200,1817210,1749233,67977,67977,8,96.26,3.74
201,1498029,1427618,70411,70411,8,95.30,4.70
202,1024347,1009659,14688,14688,8,98.57,1.43
203,1477812,1431094,46718,46718,8,96.84,3.16
204,1943204,1871066,72138,72138,8,96.29,3.71
205,1285640,1221716,63924,63924,8,95.03,4.97
206,935485,897178,38307,38307,8,95.91,4.09
207,275709,266792,8917,8917,8,96.77,3.23
208,1475168,1437927,37241,37241,8,97.48,2.52
209,529353,511976,17377,17377,8,96.72,3.28
210,1464456,1402601,61855,61855,8,95.78,4.22
211,574728,520960,53768,53767,8,90.64,9.36
212,665202,652472,12730,12730,8,98.09,1.91
213,275913,266216,9697,9697,8,96.49,3.51
214,1466766,1383564,83202,83202,8,94.33,5.67
215,1723318,1639130,84188,84188,8,95.11,4.89
216,992558,938806,53752,53752,8,94.58,5.42
217,1066064,1004852,61212,61212,8,94.26,5.74
218,826403,789376,37027,37027,8,95.52,4.48
219,961793,884355,77438,77437,8,91.95,8.05
220,676103,665545,10558,10558,8,98.44,1.56
221,971208,915803,55405,55404,8,94.30,5.70
222,1259724,1197343,62381,62380,8,95.05,4.95
223,474999,444426,30573,30573,8,93.56,6.44
224,899299,844407,54892,54892,8,93.90,6.10
225,1259784,1174765,85019,85018,8,93.25,6.75
226,1791229,1684222,107007,107006,8,94.03,5.97
227,2101366,1974272,127094,127094,8,93.95,6.05
228,1570319,1497300,73019,73019,8,95.35,4.65
229,1547141,1468127,79014,79014,8,94.89,5.11
230,1755585,1674465,81120,81120,8,95.38,4.62
231,2259019,2157274,101745,101744,8,95.50,4.50
232,2266486,2187319,79167,79166,8,96.51,3.49
233,1473498,1413864,59634,59633,8,95.95,4.05
234,933922,902403,31519,31518,8,96.63,3.37
235,919801,889606,30195,30194,8,96.72,3.28
236,821288,786059,35229,35229,8,95.71,4.29
237,1217837,1181754,36083,36083,8,97.04,2.96
238,604357,595299,9058,9058,8,98.50,1.50
239,1932542,1829859,102683,102681,8,94.69,5.31
240,1504038,1468407,35631,35631,8,97.63,2.37
241,1048251,946284,101967,101965,8,90.27,9.73
242,544420,517265,27155,27154,8,95.01,4.99
243,169891,161549,8342,8342,8,95.09,4.91
244,592122,556627,35495,35495,8,94.01,5.99
245,537848,529741,8107,8107,8,98.49,1.51
246,433944,424956,8988,8988,8,97.93,2.07
247,542941,505542,37399,37399,8,93.11,6.89
248,429221,398710,30511,30511,8,92.89,7.11
249,342863,286070,56793,56793,8,83.44,16.56
250,1007048,944577,62471,62471,8,93.80,6.20
251,1265160,1221231,43929,43929,8,96.53,3.47
252,709522,648289,61233,61232,8,91.37,8.63
253,1030130,992718,37412,37411,8,96.37,3.63
254,1283655,1197880,85775,85774,8,93.32,6.68
255,612638,550224,62414,62414,8,89.81,10.19
