Cycles MFLOPS
N,MC4096_NC128_KC32,MC4096_NC128_KC64,MC4096_NC128_KC128,MC4096_NC128_KC256,MC4096_NC128_KC384,MC4096_NC256_KC32,MC4096_NC256_KC64,MC4096_NC256_KC128,MC4096_NC256_KC256,MC4096_NC256_KC384,MC4096_NC512_KC32,MC4096_NC512_KC64,MC4096_NC512_KC128,MC4096_NC512_KC256,MC4096_NC512_KC384,MC4096_NC4096_KC32,MC4096_NC4096_KC64,MC4096_NC4096_KC128,MC4096_NC4096_KC256,MC4096_NC4096_KC384
16,100495,127839,97743,128700,97957,97496,98044,100045,98448,98004,97356,99882,99805,98169,97604,98098,98415,97962,124608,129105
32,302829,304359,304963,305746,304927,304501,305058,307111,311298,307570,403770,305567,303976,302506,306141,305937,276942,276575,307746,304014
48,849808,841866,807555,783021,815888,848720,858960,1412358,784814,807375,954231,786075,847749,810899,781496,844044,784536,785583,783859,786199
64,1821224,1755294,2382801,1883734,1754257,1721658,1759388,1757770,1756631,1756179,1714677,1903351,1762868,1759927,1765000,1723541,1759010,1763492,1760588,1761323
80,3291857,3395753,3426388,3538474,3425826,3394925,3393902,3471855,3409765,3545147,3269270,3399282,3406266,3460421,3424946,3269920,3515197,4124274,3405638,3426236
96,6072442,6298895,6011079,5899806,5894811,5473231,5695006,6658144,5914430,6554094,5611336,5638626,5930970,6699354,6113831,5477127,5644851,5896342,5894619,5946248
112,8649886,9232820,9343458,9408660,9931653,8869781,9055428,9343843,9397453,9505137,8641672,9662885,9902298,9452771,9269008,8589831,9135637,9973820,9387538,9448523
128,13037997,13556103,13823383,13953013,14010841,13099876,14130468,13824685,13915243,13906300,13024846,14206095,14726702,13811866,14407538,12918094,14306686,14623919,13962319,14452087
144,19419229,20016268,19955317,20804868,20793413,18685370,19955342,19662812,20323292,19838424,18449814,19916652,19974113,20366034,20393764,18390114,19909191,20067187,20518629,20357567
160,27316139,27507529,27900743,27544189,28278525,26327880,26974988,26995427,27071776,27532269,26601721,26986554,27258308,27624094,27627967,26409244,27030018,27279228,26902734,27670526
176,36190959,36463472,36636101,37262774,37199796,35097137,35774778,35863051,36620173,36548858,35080251,35738745,35917699,36649987,36616757,35054833,35697456,35842650,36579021,36616927
192,46948730,47009801,47108005,48818786,48772650,45628169,46139240,46305791,47371977,47411497,46227961,46149512,46363682,47353948,47442760,46170650,46718644,46900871,47506451,47511218
208,59301372,60023043,60349688,61010670,61185867,58160972,58852731,59232087,60858968,60911751,58552170,58785567,59049313,60878489,60221030,58554091,58732336,59154966,60711057,60178892
224,74874807,74507268,74483043,76998845,76891732,73372190,73092415,73410959,75793502,75886716,73457587,73352116,73456337,75894444,75750837,73394535,73162059,73411724,75784246,75831090
240,91544300,90861864,91015803,94369678,94612979,90618994,89558348,89950456,94178371,94017794,90126523,89522214,90548822,93895782,93326628,90613785,89761612,90523538,93953780,93311943
256,112461473,111283017,111061412,115659318,115408121,110091640,108929467,109487250,114642504,114013794,109986743,108925696,109562341,114225500,114001465,110105769,108826835,109477287,114674352,114074427
384,381573304,370182031,371887455,382487849,400818750,377452597,366956607,368717306,379181852,398083408,373372672,363599889,365668181,376623415,395009772,373501884,363608826,365607694,376280407,394457012
