N,MC16_NC16_KC64,MC16_NC16_KC128,MC16_NC16_KC192,MC16_NC16_KC256,MC16_NC16_KC320,MC16_NC16_KC384,MC16_NC16_KC448,MC16_NC16_KC512,MC16_NC16_KC576,MC16_NC16_KC640,MC32_NC32_KC64,MC32_NC32_KC128,MC32_NC32_KC192,MC32_NC32_KC256,MC32_NC32_KC320,MC32_NC32_KC384,MC32_NC32_KC448,MC32_NC32_KC512,MC32_NC32_KC576,MC32_NC32_KC640,MC64_NC64_KC64,MC64_NC64_KC128,MC64_NC64_KC192,MC64_NC64_KC256,MC64_NC64_KC320,MC64_NC64_KC384,MC64_NC64_KC448,MC64_NC64_KC512,MC64_NC64_KC576,MC64_NC64_KC640,MC96_NC96_KC64,MC96_NC96_KC128,MC96_NC96_KC192,MC96_NC96_KC256,MC96_NC96_KC320,MC96_NC96_KC384,MC96_NC96_KC448,MC96_NC96_KC512,MC96_NC96_KC576,MC96_NC96_KC640,MC128_NC128_KC64,MC128_NC128_KC128,MC128_NC128_KC192,MC128_NC128_KC256,MC128_NC128_KC320,MC128_NC128_KC384,MC128_NC128_KC448,MC128_NC128_KC512,MC128_NC128_KC576,MC128_NC128_KC640,MC256_NC256_KC64,MC256_NC256_KC128,MC256_NC256_KC192,MC256_NC256_KC256,MC256_NC256_KC320,MC256_NC256_KC384,MC256_NC256_KC448,MC256_NC256_KC512,MC256_NC256_KC576,MC256_NC256_KC640
16,116014,117815,160725,159468,116731,115732,116936,117390,116184,117777,116404,117144,118168,120965,116712,116275,115786,116591,159307,155803,114761,208482,117404,117130,116060,116378,117874,114883,157575,116687,115729,115534,118414,116589,116458,117979,116783,118063,116977,155906,120653,115154,115698,116165,119977,116410,118310,116741,116092,117990,157846,158412,116829,115219,117392,117705,117545,117187,115664,115893
32,443875,406542,445132,488258,443706,443992,402424,401840,436418,400588,395718,393760,394856,393172,395957,392384,399620,393745,393851,393534,391382,392832,394668,391853,351017,405129,394466,394243,393252,353013,352657,352473,394831,392370,394859,352116,392687,354815,392861,394863,391746,444837,390234,355120,352427,395103,361276,543261,404064,352694,391941,390749,390116,393566,352094,396008,394749,393668,389693,393582
48,1282414,1354143,1292854,1258556,1446743,1253896,1291318,1255126,1253127,1255055,1157810,1201016,1163700,1193706,1256273,1165363,1155136,1159383,1191602,1163365,1029465,1030255,1031425,1035858,1033995,1028871,1033948,1031284,1061077,1060031,1030724,1034318,1028763,1030449,1032880,1036988,1034121,1035520,1058696,1032765,1028422,1032660,1034141,1033120,1033200,1030502,1034810,1059335,1031834,1034957,1060937,1031674,1033594,1059862,1031478,1061516,1033850,1149161,1033818,1216421
64,2884415,2887983,3060785,2930240,2879023,2882940,2883671,2949272,3833295,2881965,2436761,2473170,2475032,2529031,2475085,2472449,2477215,2474098,2464193,2626181,2264830,2231858,2432296,2270308,2235984,2234700,2270068,2228481,2268900,2322228,2340387,2271011,2292549,2232675,2310122,2316763,2272660,2390473,2343213,2270663,2270460,2234752,2273282,2274301,2276349,2278631,2333795,2275432,2268843,2337917,2272596,3215463,2269232,2278538,2236247,2269225,2270816,2272535,2272883,2272601
80,5769129,6416560,5553025,5522462,5655983,5464312,5646287,5526631,5467682,5691512,5823023,5802679,4878831,5971419,4892650,4936680,4880293,4881330,5056540,5053062,4558402,4565843,4561812,4554411,4555164,4551432,4555917,4611803,4798852,4590149,4181154,4469155,4479768,4257074,4297660,4311614,4275847,4232762,4474687,4224608,4179256,4259667,5275592,4257537,4399260,4230212,5207447,4228548,4226625,4290172,4372110,4232810,4424596,5139923,4247094,4438807,4355517,4228704,4226323,4286326
96,9457493,9659480,9270979,9266029,9514282,9299145,10319784,9306359,9384992,9359824,7903969,8101906,8339689,8039579,8977429,8040796,8041482,8067135,8033260,9007203,7435614,7591214,7594916,7631499,7592001,7805273,7824955,7701239,7623485,8712199,6980767,7171608,7199191,7372666,8329649,7169484,7196310,7176728,7210319,7460457,6981076,7237314,7168039,7168942,7289430,7246848,7437191,8224130,8304458,7175511,6978175,7173281,7174661,7244601,7358501,7279170,7320153,7180682,7166478,7191747
112,14731089,15806133,15065530,14848025,15113072,15730769,14935778,14998062,15005655,14777951,13755606,14082809,14043699,14195627,13019629,13265288,14030271,14081209,13418929,13407308,11550697,12055409,11927210,12923868,11850265,11838765,11806451,11968853,12256015,11810093,12673350,12961140,12899211,11927981,11890230,11878431,11889520,12751354,11989516,11811933,12207769,11275760,12290976,12408843,11479461,11286525,12412624,11245712,11245222,11340637,12134056,11302738,11517822,12233236,11522739,12327655,11377595,11244490,11401989,11371412
128,21733258,23477467,23636787,22560410,22717836,23415012,22552919,22834720,22818075,22913050,18319012,20248778,19110828,20298202,19323227,20343502,20204743,19318415,20304857,19545505,17167893,18466323,18938874,18752382,17777584,17717145,17670006,17674744,18678254,17603853,17256528,17685296,18593233,18599283,17802972,18782966,17480064,17647195,18614694,17483623,16503467,17974479,16705997,17893671,16696335,17026478,16780597,16800913,16803337,17835481,16548175,17904631,16713512,16999992,16756029,16805616,16709083,16751006,18003996,16741635
144,32553513,32175900,31221536,32084718,32068294,32027435,32167846,32097592,31091007,32037795,27970765,28688598,28451745,28847826,27573812,28742775,28807400,28585027,28949388,27707661,25098680,26513963,26776455,26724992,25610360,25405897,25612770,25703718,26846898,25470152,25035488,25637504,25911295,25782625,24893216,25875851,24788562,24863064,26019805,24502013,25175401,25584649,25510269,25725354,24716993,24855909,25479596,24486688,24427467,25671077,23081020,24532925,23929597,23932445,23872448,24736991,23748117,23614745,24918573,23882972
160,42275081,43917815,43414212,42731178,43790719,43684587,43553846,42845398,42798202,42740143,35740300,36690774,37234959,37204009,38182016,38055429,37039360,37116678,38140501,38191345,34284760,34238020,35478861,34675718,35791604,35960441,35868699,35599434,34488820,35910557,33048189,33968375,33610814,33725027,34575408,33563523,34846563,34546821,33767975,34842663,33315433,32875932,34796929,33627827,34666229,34520170,34722287,34701802,34725316,33607270,32367538,31922070,33676282,33443960,33689990,33687475,33643126,33458973,32519200,32677499
