KC,rmisses_4,rmisses_8,rmisses_16,r_4,r_8,r_16,w_4,w_8,w_16,wmisses_4,wmisses_8,wmisses_16,insts_4,insts_8,insts_16,cycles_4,cycles_8,cycles_16
16,141018443.0,73491367.0,39837653.0,724829645.0,319397370.0,150067525.0,153831417.0,92913306.0,26215257.0,35785091.0,35562629.0,9973662.0,3808483711.0,3004390430.0,2488337221.0,14148776969,10885588197,7991484784
32,144649660.0,77208966.0,43483196.0,632955536.0,295999179.0,143997343.0,79339056.0,48863422.0,15080311.0,19019681.0,18792929.0,5774425.0,3390221314.0,2845018666.0,2447841779.0,12894540670,10057377405,7833826855
64,153558105.0,84719109.0,48583155.0,587058614.0,284339374.0,141001042.0,42171614.0,26916638.0,9590782.0,10675193.0,10417530.0,3694093.0,3181289035.0,2765539226.0,2427801824.0,12363006065,9724026364,7874868635
96,159692597.0,90228826.0,56459700.0,572746548.0,280728406.0,140098508.0,30627593.0,20130276.0,7947661.0,8058724.0,7808053.0,3064364.0,3116218721.0,2740908911.0,2421747368.0,12288623049,9721701728,7976936530
128,166722025.0,94869158.0,57064785.0,564188825.0,278590557.0,139583080.0,23744811.0,16101685.0,7003491.0,6509402.0,6267691.0,2730062.0,3077283649.0,2726254695.0,2418226799.0,12304240666,9780760850,8102232707
160,170114351.0,100923566.0,67973334.0,561367244.0,277905948.0,139443513.0,21519297.0,14825434.0,6758621.0,6009245.0,5760466.0,2604094.0,3064503232.0,2721551773.0,2417259387.0,12400719464,9877945199,8178392688
192,176449095.0,110043527.0,67907590.0,558547264.0,277225901.0,139303963.0,19295552.0,13552999.0,6513917.0,5519238.0,5280405.0,2493601.0,3051722305.0,2716861599.0,2416276086.0,12505082201,9979636602,8253815739
224,182828843.0,110300009.0,67632622.0,555726888.0,276546994.0,139166865.0,17068462.0,12278520.0,6269077.0,5026958.0,4770501.0,2390962.0,3038932980.0,2712166876.0,2415302715.0,12602753430,10085578809,8305492097
256,188856152.0,111818976.0,69110967.0,552899584.0,275859741.0,139019773.0,14844212.0,11005634.0,6022819.0,4541521.0,4345100.0,2279139.0,3026171588.0,2707499315.0,2414334124.0,12755540499,10239941229,8381312838
384,212647375.0,130107411.0,69055921.0,550231764.0,275332153.0,139035181.0,12933833.0,10046794.0,6092431.0,4162875.0,3896741.0,2273819.0,3014261858.0,2703676906.0,2414233432.0,13174529443,10511179560,8438247714
512,222481747.0,136053877.0,69000635.0,547566897.0,274806097.0,139050153.0,11023173.0,9086764.0,6161040.0,3875842.0,3447869.0,2266832.0,3002361998.0,2699863906.0,2414160838.0,13830450658,10805459134,8472096250
