N,MC128_KC64_NC128,MC16_KC64_NC16,MC256_KC64_NC256,MC32_KC64_NC32,MC64_KC64_NC64,MC96_KC64_NC96
N16,0.1393,0.1393,0.1393,0.1393,0.1393,0.1393
N32,0.1900,0.1635,0.1900,0.1900,0.1900,0.1900
N48,0.2376,0.1817,0.2376,0.2195,0.2376,0.2376
N64,0.3107,0.2091,0.3107,0.2539,0.3107,0.3107
N80,0.2795,0.1813,0.2795,0.2210,0.2692,0.2795
N96,0.2934,0.1814,0.2934,0.2292,0.2635,0.2934
N112,0.3028,0.1922,0.2957,0.2296,0.2888,0.2956
N128,0.3033,0.2098,0.3033,0.2565,0.3173,0.2946
N144,0.2850,0.1872,0.2894,0.2324,0.2875,0.2899
N160,0.2861,0.1893,0.2956,0.2357,0.2840,0.2985
N176,0.2962,0.1975,0.2946,0.2405,0.3027,0.3074
N192,0.3077,0.2027,0.2964,0.2533,0.3176,0.3070
N208,0.2956,0.1916,0.2920,0.2379,0.2963,0.2917
N224,0.2996,0.1914,0.2915,0.2377,0.2933,0.2922
N240,0.3012,0.1957,0.2916,0.2400,0.3070,0.3030
N256,0.3013,0.2123,0.2924,0.2472,0.3170,0.3099
N512,0.3032,0.2128,0.2936,0.2419,0.3192,0.3051
