N,MC16_NC16_KC64,MC32_NC32_KC64,MC64_NC64_KC64,MC96_NC96_KC64,MC128_NC128_KC64,MC256_NC256_KC64
16,16.406,16.406,16.406,16.406,16.406,16.406
32,33.47,39.799,39.799,39.799,39.799,39.799
48,40.153,44.329,48.184,48.184,48.184,48.184
64,43.336,48.989,51.484,51.484,51.484,51.484
80,40.543,46.556,49.184,51.498,51.498,51.498
96,42.57,48.691,50.588,52.762,52.762,52.762
112,43.82,48.673,51.728,52.246,53.591,53.011
128,44.669,50.562,52.908,53.075,54.175,54.175
144,43.024,48.895,51.502,52.661,52.661,53.662
160,43.859,50.131,52.274,53.3,53.234,54.166
176,44.479,50.035,52.842,53.715,53.693,54.435
192,45.061,50.839,53.357,54.075,54.095,54.78
208,43.861,49.737,52.313,53.114,53.83,54.465
224,44.38,50.5,52.8,53.496,54.122,54.703
240,44.822,50.416,53.185,53.818,54.387,54.926
256,45.227,51.028,53.527,54.084,54.62,55.108
512,45.446,51.248,53.731,54.288,54.812,55.299
